,日期,股號,股名,單價及股數,總價
0,2017-02-06,2356,英業達,23.1X129.0,2979.9
1,2017-03-06,2356,英業達,22.7X133.0,3019.1
2,2017-04-05,2356,英業達,22.1X135.0,2983.5
3,2017-05-05,2356,英業達,22.9X131.0,2999.8999999999996
4,2017-06-05,2356,英業達,23.6X127.0,2997.2000000000003
5,2017-07-05,2356,英業達,25.4X118.0,2997.2
6,2017-08-07,2356,英業達,25.45X118.0,3003.1
7,2017-09-05,2356,英業達,24.25X124.0,3007.0
8,2017-10-05,2356,英業達,23.45X128.0,3001.6
9,2017-11-06,2356,英業達,23.6X127.0,2997.2000000000003
10,2017-12-05,2356,英業達,22.5X133.0,2992.5
11,2018-01-05,2356,英業達,24.2X124.0,3000.7999999999997
12,2018-02-05,2356,英業達,23.25X129.0,2999.25
13,2018-03-05,2356,英業達,22.85X132.0,3016.2000000000003
14,2018-04-09,2356,英業達,23.05X130.0,2996.5
15,2018-05-07,2356,英業達,22.55X133.0,2999.15
16,2018-06-05,2356,英業達,24.65X122.0,3007.2999999999997
17,2018-07-05,2356,英業達,23.7X126.0,2986.2
18,2018-08-06,2356,英業達,24.8X121.0,3000.8
19,2018-09-05,2356,英業達,27.4X110.0,3014.0
20,2018-10-05,2356,英業達,25.75X116.0,2987.0
21,2018-11-05,2356,英業達,26.1X115.0,3001.5
22,2018-12-05,2356,英業達,23.0X131.0,3013.0
23,2019-01-07,2356,英業達,22.15X135.0,2990.25
24,2019-02-11,2356,英業達,23.55X127.0,2990.85
25,2019-03-05,2356,英業達,23.75X127.0,3016.25
26,2019-04-08,2356,英業達,24.15X124.0,2994.6
27,2019-05-06,2356,英業達,23.85X126.0,3005.1000000000004
28,2019-06-05,2356,英業達,23.25X129.0,2999.25
29,2019-07-05,2356,英業達,25.2X119.0,2998.7999999999997
30,2019-08-05,2356,英業達,22.4X134.0,3001.6
31,2019-09-05,2356,英業達,21.75X138.0,3001.5
32,2019-10-07,2356,英業達,21.85X137.0,2993.4500000000003
33,2019-11-05,2356,英業達,22.9X131.0,2999.8999999999996
34,2019-12-05,2356,英業達,23.05X130.0,2996.5
35,2020-01-06,2356,英業達,22.75X132.0,3003.0
36,2020-02-05,2356,英業達,22.8X131.0,2986.8
37,2020-03-05,2356,英業達,23.2X130.0,3016.0
38,2020-04-06,2356,英業達,23.6X127.0,2997.2000000000003
39,2020-05-05,2356,英業達,23.05X130.0,2996.5
40,2020-06-05,2356,英業達,25.5X118.0,3009.0
41,2020-07-06,2356,英業達,27.6X108.0,2980.8
42,2020-08-05,2356,英業達,24.5X123.0,3013.5
43,2020-09-07,2356,英業達,23.0X130.0,2990.0
44,2020-10-05,2356,英業達,22.05X136.0,2998.8
45,2020-11-05,2356,英業達,22.3X135.0,3010.5
46,2020-12-07,2356,英業達,24.0X125.0,3000.0
47,2021-01-05,2356,英業達,24.0X125.0,3000.0
48,2021-02-05,2356,英業達,23.15X130.0,3009.5
49,2021-03-05,2356,英業達,25.2X119.0,2998.7999999999997
50,2021-04-07,2356,英業達,26.95X111.0,2991.45
51,2021-05-05,2356,英業達,26.7X112.0,2990.4
52,2021-06-07,2356,英業達,25.7X117.0,3006.9
53,2021-07-05,2356,英業達,27.0X111.0,2997.0
54,2021-08-05,2356,英業達,23.4X128.0,2995.2
55,2021-09-06,2356,英業達,24.15X125.0,3018.75
56,2021-10-05,2356,英業達,25.75X116.0,2987.0
57,2021-11-05,2356,英業達,26.5X113.0,2994.5
58,2021-12-06,2356,英業達,25.55X118.0,3014.9
59,2022-01-05,2356,英業達,24.75X121.0,2994.75
